Título,Colecciones,Descripción,Estado audiovisual,Fecha,ID,Localidad,Lugar específico,Miniatura,País,Provincia,Slogan,URL,Verificado,Video,Videoxxx
Licitación de obras viales para Tres de Febrero y Berazategui,,,🔍 Buscar video,04/06/2008,CFK-20080604-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Acto por la firma del acuerdo de construcción de la represa Los Chihuidos I,,,🔍 Buscar video,26/05/2008,CFK-20080526-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Ampliación de la Red de Agua Corriente en Rafael Castillo,,,🔍 Buscar video,05/06/2008,CFK-20080605-01,La Matanza,,,Argentina,Buenos Aires,,,No,,
Día del veterano y de los caídos en la guerra de Malvinas,Malvinas,,🔍 Buscar video,02/04/2008,CFK-20080402-01,El Palomar,Colegio Militar de la Nación,,Argentina,Buenos Aires,,,No,,
"Inauguración de viviendas en el municipio de José C. Paz, provincia de Buenos Aires",,,🔍 Buscar video,17/01/2008,CFK-20080117-01,José C. Paz,,,Argentina,Buenos Aires,,,No,,
Entrega de viviendas en Avellaneda,,,🔍 Buscar video,27/05/2008,CFK-20080527-01,Avellaneda,,,Argentina,Buenos Aires,,,No,,
Visita a oficinas de Google,,,🔍 Buscar video,06/06/2008,CFK-20080606-01,Puerto Madero,,,Argentina,Capital Federal,,,No,,
Firma de acuerdo para incentivar la exportación de vacas de conserva,,,🔍 Buscar video,06/06/2008,CFK-20080606-02,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
Anuncio de obras para la Autopista Luján - Carlos Casares,,,🔍 Buscar video,28/05/2008,CFK-20080528-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
"Creación del fondo de redistribución social para hospitales, viviendas populares urbanas y rurales y caminos rurales",,,🔍 Buscar video,09/06/2008,CFK-20080609-01,,Casa de Gobierno - Salón Blanco,,Argentina,Capital Federal,,,No,,
Firma de convenios para obras en Entre Ríos,,,🔍 Buscar video,30/05/2008,CFK-20080530-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Reunión con representantes de organizaciones de derechos humanos en la embajada argentina en Roma,Viajes al exterior,,🔍 Buscar video,03/06/2008,CFK-20080603-01,Roma,Embajada argentina en Italia,,Italia,,,,No,,
Apertura de sobres de la licitación de la obra que unirá la red eléctrica Comahue con Cuyo,,,🔍 Buscar video,10/06/2008,CFK-20080610-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Adjudicación de Obras Autopista Rosario-Córdoba,,,🔍 Buscar video,10/06/2008,CFK-20080610-02,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
"Cumbre mundial de la alimentación en Roma, Italia",FAO,,🔍 Buscar video,03/06/2008,CFK-20080603-05,Roma,Sede de la FAO,,Italia,,,,No,,
Licitación de obras para el gasoducto cruce estrecho Magallanes,,,🔍 Buscar video,11/06/2008,CFK-20080611-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Cena de trabajo de la FAO,FAO,,🔍 Buscar video,03/06/2008,CFK-20080603-03,Roma,Sede de la FAO,,Italia,,,,No,,
"Presentación del programa HADOB (hipertensión arterial, diabetes y obesidad)",,,🔍 Buscar video,11/06/2008,CFK-20080611-02,La Plata,,,Argentina,Buenos Aires,,,No,,
Firma de fideicomiso con la República de Cuba,,,🔍 Buscar video,12/06/2008,CFK-20080612-01,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
"Clausura del panel sobre “Pobreza, desigualdad e inclusión” en la V Cumbre ALC-UE",Cumbre América Latina y el Caribe - Unión Europea,,🔍 Buscar video,16/05/2008,CFK-20080516-02,Lima,,,Perú,,,,No,,
Acto de licitación de obras para represa Los Blancos,,,🔍 Buscar video,25/06/2008,CFK-20080625-01,,Casa de Gobierno,,Argentina,Capital Federal,,,No,,
Convenio entre el Ministerio de Economía e industria aceitera,,,🔍 Buscar video,26/06/2008,CFK-20080626-01,,Casa de Gobierno - Sala de situación,,Argentina,Capital Federal,,,No,,
Inauguración calle Ituzaingó en San Martín,,,🔍 Buscar video,26/06/2008,CFK-20080626-02,San Martín,,,Argentina,Buenos Aires,,,No,,
Firma de convenio de cooperación entre los ministerios de Defensa y Salud,,,🔍 Buscar video,26/06/2008,CFK-20080626-03,,Casa de Gobierno - Sala de situación,,Argentina,Capital Federal,,,No,,
Inauguración de la Cementera Pico Truncado,,,🔍 Buscar video,27/06/2008,CFK-20080627-01,Pico Truncado,,,Argentina,Santa Cruz,,,No,,
Brindis ofrecido a los señores presidentes y jefes de estado participantes de la cumbre del MERCOSUR,MERCOSUR,,🔍 Buscar video,30/06/2008,CFK-20080630-01,San Miguel de Tucumán,,,Argentina,Tucumán,,,No,,
Incorporación de municipios bonaerenses al programa de uso racional y eficiente de la energía,,,🔍 Buscar video,12/02/2008,CFK-20080212-02,,Casa de Gobierno - Salón Sur,,Argentina,Capital Federal,,,No,,
Inauguración de la Cumbre Mercosur,MERCOSUR,,🔍 Buscar video,01/07/2008,CFK-20080701-02,San Miguel de Tucumán,,,Argentina,Tucumán,,,No,,
Cierre de la Cumbre de jefes de Estado del MERCOSUR,MERCOSUR,,🔍 Buscar video,01/07/2008,CFK-20080107-01,San Miguel de Tucumán,,,Argentina,Tucumán,,,No,,
Acuerdo con productores lácteos,,,🔍 Buscar video,02/07/2008,CFK-20080702-03,,Casa de Gobierno - Sala de situación,,Argentina,Capital Federal,,,No,,
"Inauguración de una planta láctea y otra de autopartes ",,,🔍 Buscar video,02/07/2008,CFK-20080702-01,Chivilcoy,,,Argentina,Buenos Aires,,,No,,
Homenaje a los caídos de la Policía Federal,,,🔍 Buscar video,02/07/2008,CFK-20080702-02,,,,Argentina,Capital Federal,,,No,,
Firma de convenio de viviendas para las Fuerzas Armadas,Fuerzas Armadas,,🔍 Buscar video,03/07/2008,CFK-20080703-01,San Miguel,,,Argentina,Buenos Aires,,,No,,
Despedida a los atletas que participarán de los Juegos Olímpicos en Beijing,Deporte,,🔍 Buscar video,04/07/2008,CFK-20080704-01,,ENARD,,Argentina,Capital Federal,,,No,,
Reunión con entidades arroceras,,,🔍 Buscar video,13/06/2008,CFK-20080613-02,,Casa de Gobierno - Sala de situación,,Argentina,Capital Federal,,,No,,
